Method,Image,PSNR
p1,A,14.118147
p1,B,16.536833
p1,C,17.256134
p1,D,18.941496
p1,E,16.874006
p2_3,A,14.098196
p2_3,B,16.31035
p2_3,C,17.2421
p2_3,D,18.915276
p2_3,E,16.83036
p2_5,A,14.103825
p2_5,B,16.32461
p2_5,C,17.23997
p2_5,D,18.92389
p2_5,E,16.835388
p2_10,A,14.111857
p2_10,B,16.330822
p2_10,C,17.239782
p2_10,D,18.940668
p2_10,E,16.834105
p2_20,A,14.118652
p2_20,B,16.354387
p2_20,C,17.244411
p2_20,D,18.959463
p2_20,E,16.839668
p2_30,A,14.121082
p2_30,B,16.37285
p2_30,C,17.248913
p2_30,D,18.970034
p2_30,E,16.851725
p2_50,A,14.122412
p2_50,B,16.420013
p2_50,C,17.254507
p2_50,D,18.980139
p2_50,E,16.85787
p3,A,30.161682
p3,B,25.616974
p3,C,33.054558
p3,D,36.788548
p3,E,30.098488
